Constituent ID,Artist Display Name,Artist ULAN ID,Artist Wikidata ID
100548,Charles M. Simonson,,
100549,Louis Nagel,,
100550,Myers & Smith,,
100551,"Fenner, Sears & Co.",500098282,
100552,"D. Herron, Jr.",,
100553,P. A. Mesier & Co.,,
100554,James W. Smith,,
100555,Ferdinand Kirchgessner,,
100556,Penmorh,,
100557,"Anonymous, Danish",,
100558,I. or L. Schramke,,
100559,Aleksandre Bercovitch,500075969,Q59654257
100560,"William Gale, Jr. & Co.",,
100561,Brown & Spaulding,,
100562,Livermore & Knight,,
100563,C. A. Kittle,,
100564,Burroughs & Co.,,
100565,E. J. Pinkerton,,
100566,E. Spanier,,
100568,Antoine Garnaud,,
100569,Maximilian Hardmuth,,
100570,James Kennedy,,
100571,William Everdell,,
100572,G. Fairman,,
100573,I. K. S.,,
100574,H. Mason,,
100575,F. Nesbitt,,
100576,Anastasia Dolby,,
100577,Edward John Tarver,,
100578,J. Brindley,,
100579,C. Corbett,,
100580,James Smith,,
100582,Walter Gedde,,
100583,Walter Dight,,
100584,William Watt,,
100585,Theodore Howard,,
100586,Mrs. James Edward Henry Gordon,,
100587,James Edward Henry Gordon,,
100588,Thomas Gosden,,
100589,J. H. Burn,,
100590,R. and S. Prowett,,
100591,Graphotone Company,,
100592,Atkinson Brothers,,
100593,G. Simkins and Son,,
100594,W. Greening,,
100595,Charles Terry,,
100596,Orr and Smith,,
100597,Edinburgh Printing Company,,
100598,John Aldam Heaton,,
100599,H. R. Young,,
100600,G. Voyez,,
100601,T. Withy,,
100602,Hancock and Son,,
100603,H. Gaine,,
100604,George Frederick Root,,
100605,Frances Jane Crosby,,
100607,Helen Cordelia Angell,500016965,Q18562310
100608,James Hadley,500333422,Q6135347
100609,G. Siéver,,
100610,James L. Hewitt,,
100611,Allen Dodworth,,
100612,Weale,,
100613,Layton,,
100614,A. Hancock,,
100615,Wild & Chevalier,,
100616,Osbourn's Music Saloon,,
100617,"James Basire, the younger",,
100618,Charles Jarvis,,
100619,C. S. Drewny,,
100620,T. Franklin Bassford,,
100621,Firth & Hall,,
100623,Henry Russell,,
100624,George Pope Morris,,
100625,Jollie,,
100626,Peter S. Duval,,
100627,George Willig,,
100628,W. C. Peters,,
100629,E. Johns & Co.,,
100633,Weyers,,
100634,Southwick & Hardcastle,,
100635,Johnn S. Hunn,,
100636,R. Weyers,,
100637,Joseph Anton Feuchtmayer,500032217,Q323434
100643,Pieri Benard,,
100644,Asa Coolidge Warren,,Q52154877
100646,L. Oram,,
100647,Harry Hondson,,
100648,D. Lowry,,
100649,Rhodes,,
100650,Sibyl Tawse,,
100651,Edward Valois,500086085,
100652,W. B. Handforth,,
100654,Henry Lawrence,,
100655,Ferdinand Mayer & Sons,,
100656,August Will,,
100657,Sartorial Art Journal,,
100658,Thomas Bean and Son,,
100659,Charles Hart,,
100660,John Lawrence Giles,,
100661,Kelly & Whitehall,,
100663,George Harrison and Sons,,
100664,Richard Hackett,,
100666,B. Weyers,,
100667,Wilhelm Heine,,
100668,L. W. A.,,
100669,Claude Joseph Sauthier,,
100670,Copland,,
100672,"Hudson and Kearns, Ltd.",,
100673,G. Emerson,,
100674,Bagley and Rhodes,,
100675,Fleming and Humphreys,,
100676,W. B. Simpson and Sons,,
100677,Carl Julius Senff,,
100678,Lee and Nightingale,,
